County of Santa Barbara,,,,,,,,,,,,
Daily Rainfall Record - through 08-31-2020,,,,,,,,,,,,
,,,,,,,,,,,,
#421 - Figueroa Mtn,,,,,,,,,,,,
"Lat 34-44-04, Long 120-00-25, Elev 3250 ft",,,,,,,,,,,,
,,,,,,,,,,,,
Daily Rainfall (in inches) recorded as of 8am for the previous 24 hours (PST),,,,,,,,,,,,
"Codes: PR = Preliminary data,  E = Estimated from nearby gauge",,,,,,,,,,,,
,,,,,,,,,,,,
station id,water year,year,month,day,daily rain,code,,,,,,
421,1975,1975,2,10,0.60,,,,,,,
421,1975,1975,3,5,0.21,,,,,,,
421,1975,1975,3,6,1.95,,,,,,,
421,1975,1975,3,7,0.74,,,,,,,
421,1975,1975,3,8,1.50,,,,,,,
421,1975,1975,3,9,0.65,,,,,,,
421,1975,1975,3,10,0.22,,,,,,,
421,1975,1975,3,11,0.38,,,,,,,
421,1975,1975,3,14,0.45,,,,,,,
421,1975,1975,3,16,0.15,,,,,,,
421,1975,1975,3,25,0.15,,,,,,,
421,1975,1975,4,6,0.45,,,,,,,
421,1975,1975,4,9,0.04,,,,,,,
421,1975,1975,4,15,0.25,,,,,,,
421,1975,1975,4,17,0.30,,,,,,,
421,1975,1975,4,25,0.42,,,,,,,
